Entity,Time,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct,mortgage_rate_lag1,mortgage_rate_lag2,mortgage_rate_lag3,unemployment_rate_diff_12m,permits_growth_yoy_pct,cpi_inflation_yoy_pct
REIT,2007-09-01,6.3825,1261.0,4.7,208.547,79.89133333333332,62.9,6.572,6.695,6.657500000000001,0.20000000000000018,-23.806646525679753,2.8338264299802685
REIT,2007-10-01,6.375,1192.0,4.7,209.19,72.21290322580644,62.7,6.3825,6.572,6.695,0.2999999999999998,-24.076433121019104,3.610698365527476
REIT,2007-11-01,6.208,1224.0,4.7,210.834,64.19,62.9,6.375,6.3825,6.572,0.20000000000000018,-20.260586319218245,4.373267326732666
REIT,2007-12-01,6.095,1149.0,5.0,211.445,91.99612903225807,62.7,6.208,6.375,6.3825,0.5999999999999996,-29.853479853479858,4.108813392417532
REIT,2008-01-01,5.758,1094.0,5.0,212.174,182.06129032258065,62.9,6.095,6.208,6.375,0.40000000000000036,-32.71832718327183,4.294695655165981
REIT,2008-02-01,5.9175,1014.0,4.9,212.687,118.06724137931033,62.8,5.758,6.095,6.208,0.40000000000000036,-36.545682102628284,4.142959270611968
REIT,2008-03-01,5.97,967.0,5.1,213.448,121.86903225806452,62.7,5.9175,5.758,6.095,0.6999999999999993,-39.41102756892231,3.9749035501344343
REIT,2008-04-01,5.9175,1008.0,5.0,213.942,100.466,62.7,5.97,5.9175,5.758,0.5,-31.428571428571427,3.9037609759888126
REIT,2008-05-01,6.036,995.0,5.4,215.208,84.7341935483871,62.5,5.9175,5.97,5.9175,1.0,-33.3556597454789,4.088413823123993
REIT,2008-06-01,6.32,1180.0,5.6,217.463,98.481,62.4,6.036,5.9175,5.97,1.0,-16.13361762615494,4.935966105947864
REIT,2008-07-01,6.425999999999999,921.0,5.8,219.016,101.74806451612903,62.2,6.32,6.036,5.9175,1.0999999999999996,-32.329169728141075,5.497512078341837
REIT,2008-08-01,6.4775,858.0,6.1,218.69,91.43612903225807,62.0,6.425999999999999,6.32,6.036,1.5,-35.049205147615446,5.308017162091239
REIT,2008-09-01,6.0375,797.0,6.1,218.877,183.9743333333333,61.9,6.4775,6.425999999999999,6.32,1.3999999999999995,-36.79619349722443,4.953319875136075
REIT,2008-10-01,6.2,736.0,6.5,216.995,243.4674193548387,61.7,6.0375,6.4775,6.425999999999999,1.7999999999999998,-38.25503355704698,3.7310578899565128
REIT,2008-11-01,6.0875,626.0,6.8,213.153,220.64866666666666,61.4,6.2,6.0375,6.4775,2.0999999999999996,-48.856209150326805,1.0999174706166848
REIT,2008-12-01,5.286,554.0,7.3,211.398,165.27870967741936,61.0,6.0875,6.2,6.0375,2.3,-51.784160139251526,-0.02222800255385904
REIT,2009-01-01,5.047499999999999,545.0,7.8,211.933,215.2174193548387,60.6,5.286,6.0875,6.2,2.8,-50.18281535648994,-0.11358601902212717
REIT,2009-02-01,5.13,558.0,8.3,212.705,238.85999999999999,60.3,5.047499999999999,5.286,6.0875,3.4000000000000004,-44.97041420118343,0.008463140671510772
REIT,2009-03-01,5.0025,513.0,8.7,212.495,189.9348387096774,59.9,5.13,5.047499999999999,5.286,3.5999999999999996,-46.94932781799379,-0.4464787676623838
REIT,2009-04-01,4.8100000000000005,521.0,9.0,212.709,139.217,59.8,5.0025,5.13,5.047499999999999,4.0,-48.313492063492056,-0.5763244243767063
REIT,2009-05-01,4.8575,556.0,9.4,213.022,122.90709677419355,59.6,4.8100000000000005,5.0025,5.13,4.0,-44.120603015075375,-1.015761495855172
REIT,2009-06-01,5.42,601.0,9.5,214.79,107.17366666666666,59.4,4.8575,4.8100000000000005,5.0025,3.9000000000000004,-49.06779661016949,-1.2291746182109153
REIT,2009-07-01,5.2219999999999995,595.0,9.5,214.726,121.45838709677419,59.3,5.42,4.8575,4.8100000000000005,3.7,-35.39630836047775,-1.9587610037622771
