Month,usdret_mean,usdret_winsor_mean,mortgage_rate_30y_pct,unemployment_rate_pct,cpi_inflation_yoy_pct,housing_permits_saar,epu
2004-11-01,0.045970270270270265,0.045970270270270265,5.73,5.400000000000001,3.621621621621607,2079.0,72.18733333333333
2004-12-01,0.0438,0.0438,5.752000000000001,5.4,3.3423180592991875,2082.0,40.12580645161291
2005-01-01,-0.05942410714285714,-0.05942410714285714,5.71,5.3,2.8448738593666034,2139.0,66.99064516129032
2005-02-01,0.01826964285714286,0.01826964285714286,5.6275,5.4,3.0530262453133394,2114.0,63.73035714285714
2005-03-01,-0.01708828828828829,-0.01708828828828829,5.928,5.2,3.2068412613575736,2062.0,55.76258064516129
2005-04-01,0.02824909090909091,0.02824909090909091,5.855,5.2,3.3617929562433257,2150.0,66.458
2005-05-01,0.02848181818181818,0.02848181818181818,5.72,5.1,2.869287991498415,2085.0,73.0741935483871
2005-06-01,0.06208738738738739,0.06208738738738739,5.582,5.0,2.541026998411855,2178.0,59.68933333333334
2005-07-01,0.05835663716814159,0.05835663716814159,5.695,5.0,3.067160232681121,2203.0,50.88483870967743
2005-08-01,-0.030513157894736843,-0.030513157894736843,5.82,4.9,3.6469344608879526,2219.0,56.08838709677419
2005-09-01,0.0015973214285714286,0.0015973214285714286,5.774,5.0,4.741833508956806,2263.0,85.24833333333332
2005-10-01,-0.019895535714285713,-0.019895535714285713,6.065,5.0,4.350104821802936,2170.0,62.99677419354839
2005-11-01,0.028555357142857143,0.02825110714285714,6.33,5.0,3.338549817423053,2218.0,48.773
2005-12-01,0.004771681415929203,0.004771681415929203,6.272,4.9,3.338549817423053,2120.0,60.02741935483871
2006-01-01,0.061316814159292035,0.061316814159292035,6.145,4.7,4.018789144050117,2212.0,63.64354838709678
2006-02-01,0.01772,0.01772,6.2525,4.8,3.63825363825363,2141.0,59.09428571428571
2006-03-01,0.05462,0.05406532173913044,6.324,4.7,3.4179181771103018,2118.0,51.51064516129032
2006-04-01,-0.03742543859649122,-0.03742543859649122,6.5075,4.7,3.613835828600931,1998.0,69.78299999999999
2006-05-01,-0.02476283185840708,-0.02476283185840708,6.5975,4.6,3.977272727272729,1905.0,67.5151612903226
2006-06-01,0.04544867256637168,0.04544867256637168,6.682,4.6,4.1817243159525175,1867.0,67.88633333333334
2006-07-01,0.01827207207207207,0.01827207207207207,6.7625,4.7,4.104669061056954,1763.0,74.71290322580644
2006-08-01,0.04081441441441442,0.03991823423423423,6.523999999999999,4.7,3.926568077511483,1722.0,71.14838709677419
2006-09-01,0.018916363636363637,0.018916363636363637,6.4025,4.5,2.012072434607637,1655.0,39.139
2006-10-01,0.05860654205607477,0.057877794392523364,6.357499999999999,4.4,1.4063284781516971,1570.0,42.93870967741936
2006-11-01,0.034558490566037735,0.034558490566037735,6.24,4.5,1.9687026754164672,1535.0,50.215999999999994
2006-12-01,0.0002846153846153845,0.0002846153846153845,6.135,4.4,2.5239777889954462,1638.0,38.20903225806452
2007-01-01,0.049801960784313724,0.049801960784313724,6.2175,4.6,2.075765178123423,1626.0,56.95483870967742
2007-02-01,-0.00976930693069307,-0.00976930693069307,6.284999999999999,4.5,2.420260782347028,1598.0,58.37785714285714
2007-03-01,-0.009588888888888888,-0.009588888888888888,6.156000000000001,4.4,2.798197295943927,1596.0,54.72451612903225
2007-04-01,0.0077599999999999995,0.0077599999999999995,6.180000000000001,4.5,2.5929247633283525,1470.0,44.371
2007-05-01,0.007845263157894737,0.007845263157894737,6.262000000000001,4.4,2.709885742672613,1493.0,55.788387096774194
2007-06-01,-0.05493684210526316,-0.05493684210526316,6.657500000000001,4.6,2.692765113974227,1407.0,50.80166666666666
2007-07-01,-0.07665913978494623,-0.07692554838709677,6.695,4.7,2.317890586495808,1361.0,38.93387096774194
2007-08-01,0.06233222222222222,0.06233222222222222,6.572,4.6,1.897448478900876,1321.0,81.75161290322582
2007-09-01,0.02040449438202247,0.02040449438202247,6.3825,4.7,2.8338264299802685,1261.0,79.89133333333332
2007-10-01,0.010477011494252873,0.010477011494252873,6.375,4.7,3.610698365527476,1192.0,72.21290322580644
2007-11-01,-0.07687471264367816,-0.07687471264367816,6.208,4.7,4.373267326732666,1224.0,64.19
2007-12-01,-0.046540229885057474,-0.046540229885057474,6.095,5.0,4.108813392417532,1149.0,91.99612903225808
2008-01-01,0.0002918604651162789,0.0002918604651162789,5.758,5.0,4.294695655165981,1094.0,182.06129032258065
2008-02-01,-0.030915116279069767,-0.030915116279069767,5.9175,4.9,4.142959270611968,1014.0,118.06724137931032
2008-03-01,0.034116091954022994,0.03715489655172414,5.97,5.1,3.974903550134434,967.0,121.86903225806452
2008-04-01,0.048116091954022985,0.048116091954022985,5.9174999999999995,5.0,3.9037609759888134,1008.0,100.466
2008-05-01,0.010306896551724138,0.010306896551724138,6.036,5.4,4.088413823123993,995.0,84.7341935483871
2008-06-01,-0.10135977011494254,-0.10022096551724138,6.32,5.6,4.935966105947864,1180.0,98.481
2008-07-01,0.03872558139534884,0.037449674418604646,6.425999999999999,5.8,5.497512078341837,921.0,101.74806451612905
2008-08-01,0.030415116279069766,0.030415116279069766,6.477500000000001,6.1000000000000005,5.308017162091239,858.0,91.43612903225808
2008-09-01,-0.001137209302325581,0.0014882325581395347,6.0375000000000005,6.1000000000000005,4.953319875136075,797.0,183.9743333333333
2008-10-01,-0.30435,-0.21728209302325582,6.2,6.5,3.7310578899565128,736.0,243.46741935483868
2008-11-01,-0.2153670588235294,-0.15785891764705884,6.0875,6.8,1.0999174706166848,626.0,220.6486666666666
2008-12-01,0.165289156626506,0.11991253012048189,5.286,7.3,-0.022228002553859,554.0,165.27870967741936
2009-01-01,-0.1232345238095238,-0.12227019047619049,5.047499999999999,7.799999999999999,-0.1135860190221271,545.0,215.2174193548387
2009-02-01,-0.196085,-0.17580785000000002,5.13,8.3,0.0084631406715107,558.0,238.86000000000004
2009-03-01,0.05820632911392405,0.05501812658227846,5.0025,8.7,-0.4464787676623838,513.0,189.9348387096774
2009-04-01,0.35420864197530866,0.20435822222222214,4.8100000000000005,9.0,-0.5763244243767063,521.0,139.217
2009-05-01,0.04559634146341464,0.03647536585365852,4.8575,9.4,-1.015761495855172,556.0,122.90709677419356
2009-06-01,-0.0164283950617284,-0.01575787654320988,5.42,9.5,-1.2291746182109151,601.0,107.17366666666666
2009-07-01,0.08430123456790124,0.08430123456790124,5.222,9.5,-1.9587610037622771,595.0,121.45838709677422
2009-08-01,0.16094819277108433,0.12347667469879516,5.1925,9.6,-1.4838355663267633,616.0,94.85806451612903
2009-09-01,0.08252619047619048,0.06271528571428571,5.0575,9.8,-1.377942862886472,609.0,91.19866666666668
2009-10-01,-0.05525357142857143,-0.05375623809523809,4.952,10.0,-0.22396829420033842,583.0,81.96032258064515
2009-11-01,0.04455411764705883,0.04455411764705883,4.875,9.9,1.9145871744709275,623.0,111.37866666666666
2009-12-01,0.08173809523809523,0.08148866666666665,4.93,9.9,2.8141231232083674,664.0,129.59
2010-01-01,-0.023802380952380953,-0.023802380952380953,5.03,9.8,2.621111388976716,636.0,156.72870967741937
2010-02-01,0.036912941176470586,0.03682381176470588,4.99,9.8,2.151336357866529,650.0,151.77142857142857
2010-03-01,0.1334390804597701,0.11068036781609193,4.9675,9.9,2.2861714393279886,687.0,110.02806451612902
2010-04-01,0.08481818181818182,0.07464681818181818,5.098000000000001,9.9,2.2067707525304403,637.0,87.81633333333333
2010-05-01,-0.06257078651685394,-0.06257078651685394,4.8875,9.6,2.003548929218568,575.0,118.8854838709677
2010-06-01,-0.05513932584269663,-0.05251613483146068,4.7375,9.4,1.1215605940686268,587.0,127.63266666666668
2010-07-01,0.08796888888888889,0.08292942222222223,4.564,9.4,1.3407784804821077,579.0,176.8041935483871
2010-08-01,-0.03436333333333333,-0.03310026666666666,4.4275,9.5,1.1501775395112546,580.0,161.46967741935484
2010-09-01,0.05503,0.05503,4.346,9.5,1.1183122472331777,563.0,213.92533333333333
2010-10-01,0.05662197802197803,0.05322167032967032,4.225,9.4,1.1666951489314623,558.0,229.3158064516129
